state,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05
Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,22.0,27.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,7.0,8.0,9.0,11.0,12.0,14.0,19.0,23.0,40.0,83.0,86.0,132.0,161.0,190.0,226.0,266.0,305.0,348.0,363.0,381.0,381.0,432.0,473.0,503.0,534.0,572.0,603.0,603.0,722.0,757.0,813.0,895.0,955.0,1061.0,1097.0,1177.0,1259.0,1332.0,1403.0,1463.0,1463.0,1583.0,1650.0,1717.0,1717.0,1777.0,1847.0,1887.0,1930.0,1980.0,2018.0,2090.0,2137.0,2205.0,2307.0,2355.0,2407.0,2474.0,2532.0,2602.0,2647.0,2709.0,2757.0,2823.0,3110.0,3171.0,3171.0,3251.0,3436.0,3569.0,3679.0,3783.0,3898.0,4080.0,4223.0
Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,22.0,22.0,38.0,42.0
Assam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,16.0,24.0,26.0,26.0,26.0,27.0,28.0,29.0,29.0,29.0,31.0,31.0,33.0,33.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,38.0,38.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,45.0,54.0,59.0,63.0,63.0,65.0,65.0,80.0,87.0,90.0,92.0,101.0,107.0,142.0,170.0,203.0,259.0,329.0,378.0,526.0,616.0,781.0,856.0,1024.0,1185.0,1272.0,1390.0,1513.0,1672.0,1988.0
Bihar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,6.0,6.0,9.0,11.0,15.0,15.0,23.0,24.0,29.0,30.0,30.0,32.0,32.0,38.0,39.0,60.0,60.0,64.0,64.0,66.0,70.0,74.0,83.0,85.0,86.0,96.0,114.0,126.0,148.0,176.0,228.0,251.0,277.0,346.0,383.0,403.0,426.0,471.0,482.0,517.0,529.0,536.0,542.0,550.0,571.0,591.0,696.0,747.0,831.0,940.0,994.0,1018.0,1179.0,1262.0,1391.0,1498.0,1674.0,1982.0,2177.0,2380.0,2587.0,2730.0,2983.0,3061.0,3296.0,3376.0,3636.0,3815.0,3926.0,4155.0,4390.0,4493.0
Cases being reassigned to states,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.0,1403.0,1620.0,1899.0,2338.0,2642.0,2970.0,4013.0,4332.0,4673.0,5043.0,5491.0,5630.0,6414.0,7123.0,7483.0,7610.0
Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,13.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,26.0,26.0,27.0,27.0,27.0,28.0,30.0,30.0,40.0,56.0,56.0,56.0,88.0,94.0,94.0,102.0,111.0,120.0,135.0,150.0,169.0,169.0,174.0,187.0,187.0,191.0,191.0,191.0,191.0,196.0,200.0,202.0,217.0,218.0,225.0,238.0,238.0,266.0,279.0,288.0,289.0,289.0,293.0,294.0,301.0,301.0,301.0
Chhattisgarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,18.0,25.0,31.0,31.0,33.0,33.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,40.0,43.0,43.0,57.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,66.0,67.0,86.0,93.0,101.0,115.0,128.0,172.0,214.0,252.0,291.0,361.0,369.0,399.0,415.0,447.0,498.0,547.0,564.0,668.0,756.0
Dadar Nagar Haveli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,8.0,12.0
Delhi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,10.0,12.0,17.0,26.0,29.0,29.0,30.0,31.0,36.0,36.0,39.0,49.0,87.0,97.0,152.0,219.0,219.0,445.0,503.0,523.0,576.0,576.0,669.0,898.0,903.0,1069.0,1154.0,1510.0,1561.0,1578.0,1640.0,1707.0,1893.0,2003.0,2081.0,2156.0,2248.0,2376.0,2514.0,2625.0,2918.0,3108.0,3314.0,3439.0,3515.0,3738.0,4122.0,4549.0,4898.0,5104.0,5532.0,5980.0,6318.0,6542.0,6923.0,7233.0,7639.0,7998.0,8470.0,8895.0,9333.0,10054.0,10054.0,10554.0,11088.0,11659.0,12319.0,12910.0,13418.0,14053.0,14465.0,15257.0,16281.0,17386.0,18549.0,19844.0,20834.0,22132.0,23645.0,25004.0
Goa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,14.0,15.0,17.0,29.0,38.0,46.0,50.0,52.0,54.0,55.0,66.0,67.0,67.0,68.0,69.0,69.0,70.0,70.0,71.0,79.0,79.0,166.0
Gujarat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,18.0,29.0,33.0,38.0,43.0,43.0,45.0,58.0,69.0,73.0,82.0,87.0,95.0,105.0,122.0,144.0,165.0,165.0,179.0,241.0,308.0,432.0,539.0,617.0,695.0,871.0,1021.0,1272.0,1604.0,1851.0,2066.0,2272.0,2407.0,2624.0,2815.0,3071.0,3301.0,3548.0,3774.0,4082.0,4395.0,4721.0,5055.0,5428.0,5804.0,6245.0,6625.0,7012.0,7402.0,7796.0,8194.0,8541.0,8903.0,9267.0,9591.0,9931.0,10988.0,11379.0,11745.0,12140.0,12537.0,12905.0,13268.0,13664.0,14056.0,14460.0,14821.0,15195.0,15562.0,15934.0,16343.0,16779.0,17200.0,17617.0,18100.0,18584.0
Haryana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,17.0,17.0,17.0,17.0,21.0,26.0,28.0,28.0,30.0,30.0,33.0,33.0,36.0,40.0,43.0,43.0,49.0,49.0,59.0,84.0,90.0,147.0,169.0,169.0,177.0,185.0,185.0,199.0,199.0,205.0,205.0,225.0,233.0,233.0,254.0,254.0,262.0,272.0,272.0,289.0,289.0,296.0,310.0,310.0,313.0,360.0,394.0,442.0,517.0,548.0,594.0,625.0,647.0,675.0,703.0,730.0,780.0,793.0,818.0,818.0,887.0,910.0,928.0,964.0,993.0,1031.0,1067.0,1131.0,1184.0,1184.0,1305.0,1381.0,1504.0,1721.0,1923.0,2091.0,2356.0,2652.0,2954.0,3281.0
Himachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,13.0,13.0,18.0,18.0,28.0,28.0,32.0,32.0,32.0,33.0,35.0,35.0,38.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,42.0,45.0,46.0,50.0,50.0,55.0,59.0,65.0,66.0,74.0,76.0,78.0,80.0,90.0,92.0,110.0,152.0,168.0,185.0,203.0,223.0,247.0,273.0,276.0,295.0,313.0,331.0,340.0,345.0,359.0,383.0
Jammu and Kashmir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,13.0,13.0,20.0,31.0,48.0,54.0,62.0,62.0,75.0,75.0,106.0,109.0,116.0,116.0,158.0,184.0,207.0,224.0,245.0,270.0,278.0,300.0,314.0,328.0,341.0,350.0,368.0,380.0,407.0,427.0,454.0,494.0,523.0,546.0,565.0,581.0,614.0,639.0,666.0,701.0,726.0,741.0,775.0,793.0,823.0,836.0,861.0,879.0,934.0,971.0,983.0,1013.0,1121.0,1183.0,1289.0,1317.0,1390.0,1449.0,1489.0,1569.0,1621.0,1668.0,1759.0,1921.0,2036.0,2164.0,2341.0,2446.0,2601.0,2718.0,2857.0,3142.0
Jharkhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,13.0,13.0,17.0,17.0,19.0,24.0,27.0,28.0,29.0,33.0,35.0,42.0,46.0,45.0,49.0,55.0,59.0,67.0,82.0,103.0,105.0,107.0,111.0,111.0,115.0,115.0,115.0,125.0,127.0,132.0,132.0,156.0,157.0,160.0,172.0,173.0,197.0,203.0,217.0,223.0,223.0,231.0,231.0,290.0,308.0,350.0,370.0,377.0,426.0,448.0,469.0,511.0,563.0,610.0,659.0,712.0,752.0,793.0
